Title
Rumble
Sonic the Hedgehog 2
John Wick: Chapter 4
Jurassic World Dominion
Minions: The Rise of Gru
Thor: Love and Thunder
Fantastic Beasts: The Secrets of Dumbledore
Avatar 2
Spider-Man: Into the Spider-Verse 2 
Ant-Man and The Wasp: Quantumania
