"Hashtag","Count"
"#twitch","1"
"#cheers…""my","1"
"#mamavote","1"
"#spidermannowayhome","1"
"k…#","1"
"garden.#hawks","1"
"#johnsonoutrt","1"
"#5""","1"
"#ghostbusters:","1"
"#marrymemovie","1"
"#doctorstrange2","1"
"#k…have","1"
"#25""","1"
"#spidermannoway…rt","1"
