Rank,Title,Company,DomBox,OpWeek,maxthe,YT_codes,Rating
7,Onward,Walt Disney,61555145,39119861,4310,"['gn5QmllRCn4', 'HxKXiQvyG_o', 'x8DKg_fsacM', 'gmVrW5zH04A', 'B6RQzW91Fb0']",7.4
3,Birds of Prey,Warner Bros.,84158461,33010017,4236,"['kGM4uYZzfu0', 'x3HbbzHK5Mc', 'vUBmFqo0A_M', 'x3UZ_2z9INI', 'sufoEHAn-WM']",6.1
2,Sonic The Hedgehog,Paramountï¿½,146066470,58018348,4198,"['szby7ZHLnkA', '4mW9FE5ILJs', 'KbSEnqQbWAg', '4Gy-XaZaA78', 'GxlVSQyuhRU']",6.5
4,Dolittle,Universal,77047065,21844045,4155,"['zjm6rDgKNMY', 'hej47fWFLQs', 'Qg5XwUY4GNg', 'CP5Rt5XTu8k', 'G34FKe9OIA4']",5.6
6,The Call of the Wild,20th Centï¿½,62342368,24791624,3914,"['5P8R2zAhEwg', 'h1LG9So2ZBk', 'apW9kdyJG7s', 'Twz-WIzflpE', 'VGOTYfGMyoE']",6.8
1,Bad Boys For Life,Sony Pictï¿½,204417855,62504105,3775,"['jKCj3XuPG8M', 'R228yPrwqTo', 'hbaUcwjshOs', 'DjOaTOFgVzg', 'WCZ7h5m-tPY']",6.6
5,The Invisible Man,Universal,64914050,28205665,3636,"['WO_FJdiY9dA', 'dSBsNeYqh-k', 'thOhXlk94v8', 'sWL86coOKJM', '0NSlzCyYjJg']",7.1
30,I Still Believe,Lionsgate,10410004,9103614,3250,"['YnxHyBbYwQQ', '7Za7-Q8YURM', 'y00RZSqIiJg', 'ogJ4JIFdXo4', 'fZPMZV9MVVY']",6.5
14,Like a Boss,Paramountï¿½,22169514,10011272,3081,"['9ESkyRFEso4', 'quiGRsBwrJ8', 'xqarKV0i_qk', '6irIWhya09M', '9mkiY-37OG4']",4.6
40,The Rhythm Section,Paramountï¿½,5437971,2715384,3049,"['0Uq_5bYGYoY', 'i5LITKcHMVk', 'wl08jNF_w3E', 'vXoCNBeMS9o', 'nsFY1f9ln4U']",5.4
39,The Hunt,Universal,5812500,5304455,3028,"['xoWmwsPU5cQ', 'sowGYbxTPgU', '9nMJ5fcUQ8s', 'ieLIOBkMgAQ', 'ouVxJOyFVKk']",6.5
