Rank,Title,Company,DomBox,OpWeek,maxthe,YT_codes,Rating
21,Gretel & Hansel,United Arï¿½,15347654,6154007,3007,"['T0rbHzxL_AA', 'QZblQLhKcZQ', 'Op_uLOvIfGY', '6HkbmgFChM8', '2zaRxs68Xmc']",5.4
9,Tenet,Warner Bros.,57929000,20200000,2930,"['L3pk_TBkihU', 'AZGcmvrTX9M', 'LdOM0x0XDMo', 'clUFgqbthGo', 'NlAgus5FUs0']",7.4
32,Bloodshot,Sony Pictï¿½,10021787,9176695,2861,"['6-T5-Tohan0', 'BzOl5DpWO8k', 'vOUVVDWdXbo', '5lz22U6cLC4', '3WAOOU8i9ww']",5.7
19,Underwater,20th Centï¿½,17291078,7008297,2791,"['jCFWEzIVILc', 'tFzFgGGnKu4', 'TKVWFoonOFw', 'f3kSyUalKCU', 'TrfIDng1530']",5.8
12,Fantasy Island,Sony Pictï¿½,26441782,12310420,2784,"['a6O30nJ02PU', 'OEw_PACCFf4', 'FDJDujWJhzw', 'AuDROG1g6bM', 'ddFk1HLseh4']",6
13,The New Mutants,20th Centï¿½,23855569,7037017,2754,"['W_vJhUAOFpI', 'DyCp9uYgTo0', 'bu9e410C__I', 'e-6FGEOTTeU', 'Z9yZZI1szzA']",5.3
24,The Way Back,Warner Bros.,13590514,8170315,2718,"['afIfvcAFEug', 'GhtTc7R8yBk', 'ufDgoGMIXZY', 'WSlBWeQBK90', 'L5-pTe7_RdI']",7.4
11,The Gentlemen,STX Enterï¿½,36471796,10651884,2675,"['Ify9S7hj480', 'vaN8BtA8OJk', 'k_rkMv1u4Yo', 'XwRg3mhIbkw', 'KlXsguV9g0E']",7.8
16,The Grudge,Sony Pictï¿½,21216148,11404113,2642,"['O2NKzO-fxwQ', 'nMc5B6UL5Z8', 'anlgZih2lzo', '2RrKtrQ6w8k', 'GwcQYZkpZ-w']",5.9
20,The Turning,Universal,15472775,6950045,2571,"['VqCpR19iBpc', 'gEEecoVnOTA', 'XdKzUbAiswE', 'Ebv9_rNb5Ig', 'pqdHP2dWQ9M']",3.8
18,The Photograph,Universal,20578185,12181865,2516,"['kmicB3J1emw', 'BZulYPti89M', 'Ebv9_rNb5Ig', 'beToTslH17s', 'TPBH3XO8YEU']",6.1
23,Honest Thief,Open Road,14163574,3607966,2502,"['ZUIEOMOxIDo', 'jG1X67vnYM0', 'NVZpCVzPWRg', 'fn8rNyiWV3U', 'sZXlie4NVfw']",6
72,Scoob!,Warner Bros.,850000,850000,2500,"['vf1aW1z437I', 'P9mSVDm1GeM', 'ZnKvQbpDYXU', 'pYas80wjCYw', '-BgWppq25xI']",5.7
34,Freaky,Universal,9030855,3600355,2472,"['EqPnIcDW9g0', 'kislz8JQeCM', 'McofXUghuy8', 'wTvwBs5chq0', 'D0iKOhF5Ezw']",6.4
33,Let Him Go,Focus Feaï¿½,9358025,4000470,2458,"['bE8pwEF-3TI', 'GfMkjdIc24I', 'X3iVt3c_WwM', 'iuKhdFPNGlU', 'KRDirXYqJck']",6.7
17,Unhinged,Solstice ï¿½,20831465,601032,2402,"['vdxDXoODKN8', 'm29ameanZVQ', 'Mj1w-b_H06g', '7MWDVuHeUAQ', 'OANvX3dA2eU']",6
15,The War with Grandpa,101 Studios,21277892,3623880,2365,"['X0K5cA2hS6g', 'ReBl6nuhEI4', 'RApwpIls1qk', 'QsNKbnbK-oI', 'rR4fhWxiRvc']",5.6
35,Downhill,Searchligï¿½,8287061,4622018,2311,"['AY5SrKf_2ic', 'pBa9lELOOoo', 'XzCqD5zAcFs', 'gmUGe63PUw8', 'DhRuux3bzPs']",4.9
42,The Broken Hearts Gallery,Sony Pictï¿½,4066487,1126401,2221,"['7aokhRzwlJI', 'Lj4rfz8MDyc', 'd_D0EJnVvgg', 'GXZBE2Hb-O8', 'duxA1OPH9WI']",6.3
10,Wonder Woman 1984,Warner Bros.,46530051,16700000,2218,"['sfM7_JLk-84', 'vNUcjqP11OY', 'XW2E2Fnh52w', 'YU0oCJJxvMY', 'slKY8-Ymp5U']",5.4
28,Come Play,Focus Feaï¿½,10475990,3119875,2213,"['LQwiqhdMQ7g', 'yW9K3xs7HxI', 'NuiqjUVZLw8', '0svE_nwlfhA', 'jjoD4owX9Xw']",5.7
8,The Croods: A New Age,Universal,58568815,9724200,2211,"['a-o8xbEcuSY', 'SVV5gzJ4zN4', '8ORA2lIbkjo', 'sVRyKXHj27s', 'hy4vAqF9Ko0']",7
27,Brahms: The Boy II,STX Enterï¿½,12611536,5823006,2151,"['ytxEldPKnyA', '2LCC05SUnx0', 'ECPfXUW0zt8', 'sFrHyAO8bWg', 'fjigExJXQOI']",4.7
47,The Empty Man,20th Centï¿½,2995698,1310326,2051,"['tk6u9X1bW30', '60QuLtmFb94', '0eX1fhkMinU', 'shx_8wopB1c', 'zmcTwv8WrPk']",6.1
26,News of the World,Universal,12668325,2250430,1986,"['zTZDb_iKooI', 's-RUN4vOJKE', 'hZYZPuFzDrY', 'GwCmvi4GzII', 'XO8SRZpesYs']",6.8
29,Impractical Jokers: The Movie,truTV,10466091,2607049,1900,"['IQQ8_VVR4TA', 'PohdpOp-JFE', 'EGFeCXOH55w', 'WTsbpGqoPAE', 'KIY6Pj-BjNw']",5.8
43,Infidel,Cloudbursï¿½,4051990,1384296,1885,"['Oe0J4XAfJFY', '_6Z8hzz7yBU', 'r_oNLC83hzQ', '_FnWdyjQ9zk', 'fkgVaNDPZfE']",5.8
22,Monster Hunter,Sony Pictï¿½,15104790,2201269,1817,"['3od-kQMTZ9M', 'oelXhNmQJNs', 'BeON-bSbrL4', 'pclYRd11E1M', 'dK5Z-N3g9f8']",5.3
31,Emma.,Focus Feaï¿½,10055355,234482,1732,"['qsOwj0PR5Sk', 'nOCDjU-frrg', 'JniWHloJAvY', 'N5yLcPzwPvk', 'fmcJEeeT-us']",6.7
59,2 Hearts,Freestyleï¿½,1349284,522937,1683,"['OjqewZT0r68', '3Y8l8Tptow8', 'efXhC0hx89Q', 'IlZ12rY333o', 'P8ds5PPloXM']",6.2
55,The Personal History of David Copperfield,Searchligï¿½,1876298,475800,1550,"['xXh53I-Sdsk', 'l4GfEi_GyyU', 'tionHU-Os1A', 'NOYISaKSLdE', 'oHG7FnBDY0Q']",6.4
37,Promising Young Woman,Focus Feaï¿½,6460965,719305,1448,"['7i5kiFDunk8', 'yZQpclS3tO4', 'we5yV7Gc9rY', 'FiVCIdwMF6E', 'eJ5DZ4Ny-rI']",7.5
51,Words on Bathroom Walls,Roadside ï¿½,2542518,432968,1395,"['4E1-RnpOe8Q', 'Ij8m_XQ_J2E', 'k0YGc1qlzJ8', 'trXSQ8qQUes', 'vbwq8sxxnEw']",7.2
53,Half Brothers,Focus Feaï¿½,2241980,700160,1386,"['tmxxfuLPWXg', 'nqszzchY1hs', 'bZlg3pS2z1s', 'qFoK0tIKdiY', 'jsIEO8obhKk']",6.1
74,Ji Xian Feng,Gravitas ï¿½,793525,380428,1375,"['Iz36GHop1Wg', 'PPcGe5iZUlg', 'D5XqlqogPDQ', '0ZADGItCbRU', 'Uaw-GVKSgVQ']",4.7
25,Boku no Akademia The Movie,FUNimation,13553826,5891252,1275,"['0r4OB67me6I', 'ezHmHHt0B78', '6cBYUfAno-0', 'ZclBluzAZVE', 'eU7FlWNWr8o']",7.9
38,Fatale,Lionsgate,6306897,918112,1222,"['tH9Ns9a0xrg', '8yoMxNFoFyg', 'XYniB3_rSi4', 'e6YR7fMGtC8', 'bxWPPrDpqr8']",5.4
36,Tenki no Ko,GKIDS,7798703,1808533,1020,"['ZAztdrZF_t4', 'Q6iK6DjV_iE', '9TN44ZBVo-A', 'mdIdSbW3970', 'ps8qwWG8Uio']",7.5
45,Bill & Ted Face the Music,United Arï¿½,3439660,1125007,1007,"['1gPGeAYo3yU', '0hAL7emClFM', 'GhGhtfLJHtA', 'QDybp7XkJhg', '9gnTuWEKSXw']",6
70,Met Opera: Wozzeck,Fathom Evï¿½,863000,863000,1000,"['52Eu-hPXsgg', 'ZIZN54zW2h4', 'i-N1JMByHY8', 'bS16URlOgt0', '4AwwwMN6q3I']",7.3
69,All My Life,Universal,913935,370315,970,"['mWyJvohEFj8', 'S8p63B_xe2M', 'Ebv9_rNb5Ig', 'a0ejncDxgCc', 'kCQxxqdowOg']",6.3
49,Minari,A24,2964816,,912,"['KQ0gFidlro8', 'STf5DKUkIsU', 'FOh7Wfavbwk', 'qNGKDzmoUEU', 'r4lElxk9AO4']",7.5
79,The Last Vermeer,Sony Pictï¿½,685380,225691,912,"['-0FU8z_1Arc', 'lcO4OGtJATc', 'P9h8a-_-8kk', '2cI1DUz7SQ0', 'EgSPN8UOBpA']",6.7
98,Yellow Rose,Sony Pictï¿½,367849,150330,900,"['pJJr1_t7H6o', '6oI5sUWvFWo', 'FabSa-uTlTo', '1sry0m7zUZw', 'hqsiw0Bsp9o']",6.5
80,The Last Shift,Sony Pictï¿½,643658,246491,886,"['cPis-FiBLS0', 'HE09wQR7AzY', '3p0KIrh8hyM', 'APVNvcOEQKs', 'QqpmS9ysZH0']",5.7
99,The Kid Detective,Sony Pictï¿½,364138,140218,865,"['KEyiKNXsVGo', 'i1ALs7I7ouU', 'cdGhmPMvV9g', 'aJ0JY6ihXlk', 'qgq1dL8yaBI']",7
76,Shortcut,Gravitas ï¿½,758223,279125,725,"['eIcvgAfzmVY', 'KYMxEzCK0pY', 'Gd7jzwOVRJY', 'AuSXYXKbL2c', 'XBErGy3FSdU']",4
50,The Last Full Measure,Roadside ï¿½,2949212,1058019,617,"['Go8zI2sytEc', 'GzEe75PYnEg', 'rmSaFhlcrLY', 'FNpF5tqIuvk', '1idcunpQkUo']",6.8
102,"Kimi to, nami ni noretara",GKIDS,332432,19643,605,"['OOEpST-PHh8', 'OvEZXQ4Jc0w', 'Lnmzcz-nvz8', 'rOdyKWr1TGM', 'w0Sj9f_w_uI']",6.9
100,Greed,Sony Pictï¿½,355308,24163,596,"['S3ZJB1zUY7g', '4yfvbPCj-z4', 'ky-IVr5e3vc', 'mgvgyATx2Ls', 'U2cTDBZcFhc']",5.7
86,Kajillionaire,Focus Feaï¿½,531430,215675,547,"['qnSGcUYfJMA', 'xiMPCevu8Wk', 'TUP1jRANIvg', 'ElOPPJ2CIjY', 'hx9pEXazyJA']",6.4
52,After We Collided,,2386483,,546,"['wu6wjmEa_1U', 've1x2OjyoTc', 'JfMnznLCnEE', 'J-x5WLWoZpY', '3OHPCurXcTU']",5.2
119,Come Away,Relativity,184477,106084,475,"['ai72ykanDY8', '9PpfMd5x3pk', 'GnmUfmbPQTQ', 'QRG3GYKBVJ4', '2IegaoAre1g']",5.8
112,The Secrets We Keep,Bleecker ï¿½,231119,88306,471,"['8Jv6f59Z4Y8', 'oRSUt8-jn60', 'HJaH5PX31u8', '-pBrRKzvxQU', '2NcZmgXDNaQ']",5.8
114,Wild Mountain Thyme,Bleecker ï¿½,213441,94989,450,"['PJGwrpb_Sao', 'vFPrFtuwQo8', 'UkxdfDYashg', 'we8g99pIYW8', 'c52xXMyFcmY']",5.7
133,Lupin III: The First,GKIDS,139066,83295,418,"['6C2ZsWobs68', 'SGEOkMTkTmA', 'C9KU7EmdyB8', 'YPit-LFyXi0', '9jvUbmG-W30']",6.9
111,The Climb,Sony Pictï¿½,234429,97639,408,"['Mr4MKhV5QVw', 'LaBTT5bZKJw', 'bBixXSiKHPA', 'go9zvQcq5Jo', 'Dj1un-veS1M']",6.7
97,Buddy Games,Paramountï¿½,405904,150497,401,"['iAf9B6Fuzwk', 'iaSmJb0SgK8', 'DgOWuCeFzt4', 'QRap2LUFcJ0', 'URHvgT_6AqY']",4.8
54,The Lodge,Neon,2138907,76251,395,"['ZN4E-NV2bpo', 'dCLOqdzAP9E', 'FFI1s0BKku0', 'yNCmelEvq_0', 'iVNRHffCitw']",6.1
71,Cut Throat City,Well Go USA,855894,,389,"['qCcVIZUVGZA', 'l1dM85mn_QE', 'myAUh2RQ9y4', 'wSi_gQv-YwE', 'nmaZOGVnbqs']",4.8
105,Save Yourselves!,Bleecker ï¿½,301162,142694,388,"['8A2qAesyVgw', 'H3whgPSE6G4', 'VV4Id662c0Y', '_bUeHS-KJYc', '2BP5JUN2u1Q']",5.8
64,Love and Monsters,Paramountï¿½,1070714,270302,387,"['1dzGhJ5QGsQ', 'yu8tBeNsVPc', 'YZhI4aHAgP0', '9tqdE5hcQ9U', 'vGl9Dkl2Onc']",7
94,Seberg,Amazon Stï¿½,448009,47180,373,"['WWlI5ftiQTs', 'LLBVrq3Se_M', 'xVNLdKzDRDg', 'Y2OD10oHLDU', 'ecAd27X35Kc']",5.8
90,Spell,Paramountï¿½,500104,206591,369,"['fTznGVd8nyo', 'cU_DzHb0RSg', 'D4fRDIPkp84', '94AXB5P5HBA', '8gzuM0sR6FE']",6.5
48,Las Pildoras De Mi Novio,Lionsgate,2971116,1396140,350,"['jH0MmoDwoMI', 'mqc5pOcxlr8', '0tomfrkIe2o', 'OVbEarg9mxs', 'xAnIK_h0sYg']",4.6
44,Portrait de la jeune fille en feu,Neon,3759854,67344,334,"['R-fQPTwma9o', 'BaZqgbfqM-M', 'Bn_-YoG69Sw', 'nlJe8i0AlXg', '30gpPOTNLhA']",8.1
117,The Doors: Break on Thru A Celebration of Ray,Trafalgarï¿½,186920,4312,330,"['CvyhjeKLA5o', 'XDv741ZEgwA', 'KumTVJ7B_cA', 'EhjV6A76bjo', 'rOzAMSybwTc']",8
81,Synchronic,Well Go USA,636673,245561,327,"['XGCrg1OAYfs', '6mleqGalELY', 'KEEGY6-LdRw', 'y-xzh3iFmq0', '5nm4wbFq3nU']",6.2
41,The SpongeBob Movie: Sponge on the Run,Paramountï¿½,4810790,865824,326,"['a2cowVH03Xo', 'neBkma9xtjM', 'oKDotSYRuiI', '-XOuu1vd_fk', 'djcA4pUPgA4']",6
77,Possessor,Neon,752885,252664,320,"['D0Gh9nOIV3w', 'FyRkoL45JGk', 'jaDeq5BxLF0', 'Gk_ghaJImnM', 'F4QiQ-4Y7fA']",6.5
134,The Nest,IFC Films,137852,65540,301,"['i8YJQ0cflo0', 'svq5OzzT7s4', 'LOK1O_kqsHI', '92kRK9WLNtg', 'AUHINIoRjkc']",6.3
73,Sarileru Neekevvaru,Great Indï¿½,821000,821000,300,"['Pim3CUGCXbY', 't0V8fNv35SU', 'VbuK58iQ_qc', 'ZBDSNy4Yn9Q', 'yo89OSPBUhY']",6
106,The Informer,Aviron Piï¿½,300460,133475,283,"['jUakWaEpCmY', 'Abr5lb4_0Xs', 'mIYrMUPdoWE', 'U5pqvnIeoPk', 'UZLyrQb92qQ']",6.6
62,True to the Game 2: Genas Story,Faith Medï¿½,1117808,290000,281,"['uFHnbRKIfcw', 'MY1XOB3Cdy0', 'fvaRTd3j-Io', 'OpYGnbQS_RA', 'C-b3hKxwIZ0']",4.2
123,Ammonite,Neon,160930,87552,280,"['Yd_nsFJAXV4', 'HcG0HQkVaD0', 'MA-JpynpC5c', 'JnHM9Ff0BvQ', 'rmmnhBo7a8I']",6.5
78,Baaghi 3,FIP,721439,509616,265,"['jQzDujMzfoU', 'F2lN25IayH8', 'CnDInlSExJw', 'n0WVWprVN7g', 'nqOg0ZL65mg']",2.1
109,Fatman,Saban Films,278378,108305,259,"['WjBjUF4Tb_k', 'Z64XvPERZ50', 'h5mdsgZnpyI', 'WrHRKfY3qdo', 'bzdiFgpB1YM']",5.9
91,Ava,Vertical ï¿½,497747,170349,252,"['eLEwNo78f0k', 'p1-A8UITU18', 'U7KH37qF_M4', 'lpxlr8dTYrQ', 'OP0Vq8TG-b0']",5.4
58,The Rental,IFC Films,1637548,403852,250,"['MGdcTUMGxB0', '6K4YdzrJX_I', 'GKkFB0E7G3U', '6Rtynbvc0UY', 'N_kraLkWdbw']",5.7
254,Monero Means Money: Cryptocurrency 101,rCryptoCuï¿½,4470,3430,247,"['8quGD9W7B2I', 'RNMCS5KbjkY', 'q0scjMHp-9M', 'qrUq0v5VgdU', '2OIO5wBoQlQ']",8.1
167,Other Music,Oscilloscï¿½,37191,,214,"['Ebv9_rNb5Ig', 'AAnkc01ITpw', 'EPZu5MA2uqI', '3mTh2joPPj8', 'cttnRmcr_ME']",7.2
127,Heaven,LAMA Distï¿½,148091,,200,"['g782ccLa2FI', 'kn0CJqcKOxM', 'u0UkDQaR5KQ', '8F1FBZvBPNg', 'N-ewaCVARtM']",7
87,The Call,Atlas Disï¿½,516520,138237,195,"['3eGP6im8AZA', '5P8R2zAhEwg', 'NaB_ERMAZu4', '8g18jFHCLXk', 'beToTslH17s']",7.1
96,Tulsa,Self Distï¿½,413522,78393,192,"['froEI_wGiJw', 'W0-aPNQWuOg', 'hs3u1MPLxhE', 'D9GopsJlVlQ', 'diyUd6vsRV0']",6.2
161,Henchmen,Entertainï¿½,49676,,181,"['OsFnemDceD4', 'fo2Rze_W1uE', '8M6I5C8wDmQ', '6wK_G6qjVLo', 'NPu85sO3N7I']",5.1
84,Alone,Magnolia ï¿½,538358,182473,174,"['RQNL2x4wK1s', 'bHKgptVbT9s', 'NoP2mJiCzWQ', '6enLmSBGxeA', '2BkVf2voCr0']",6.2
63,The Assistant,Bleecker ï¿½,1100310,79141,167,"['6cLf0i-kYio', 'z9761kQCNWc', 'DzLWA3xIcFo', 'FbhkakeKqCk', 'SCv70SAhuE4']",6.3
129,Wendy,Searchligï¿½,143518,26214,165,"['KKktQFFcXL0', 'qUEaln1hOn8', 'v2eFSwrdbtw', '9FmthhVLfho', 'as5DY-9KZCE']",5.7
135,Beneath Us,NME,137260,137260,162,"['8lzF9opzFDc', '8Qfjy94Jgk4', 'dyxFVl_vekQ', '25gSZcWmDZg', 'sVU5GxuGTJU']",5.3
157,The Dissident,Briarclifï¿½,57000,25000,160,"['2I6hjwblA_g', '2wnmC7uLTNQ', 'zj-8zybxE7c', 'apEq8lo5MJ0', '4DVah3bZlV8']",7.9
93,Once Were Brothers: Robbie Robertson and The Band,Magnolia ï¿½,449561,37828,152,"['ZYTpMZjZxwI', '3c6aICtQsLI', 'vBsmTCdDl3A', 'bu1ksBNTTdw', 'IgP-R-7yciI']",7.3
60,Ban-do,Well Go USA,1224525,118647,151,"['IRuIfn-PTGk', 'ufynofAbUzE', 'kHb7rg2fc4g', 'JOk0KxHhaes', 'M1zU47xnDtA']",5.9
128,The Burnt Orange Heresy,Sony Pictï¿½,144201,16163,139,"['6PMAlfrdQNI', 'iC43p8Aoark', 'tgT2VzTRT1g', 'asYXnCcFCC0', 'i6JT_QfI-B8']",6.1
66,The Tax Collector,RLJ Enterï¿½,1044212,309694,138,"['F8s4PZ0JENc', 'eqFnDz_Uu1c', 'xGoGvbkUVL4', 'JtnlnLP6_RY', 'VLmiAY-nvF8']",4.8
65,Relic,IFC Midnight,1047083,192352,133,"['_sHbiv7J1xg', 'XWhZDQkq0bw', 'cgSXwlcIvtg', 'ESe4p1E2ugQ', 'wNckdDJ8Fxg']",6
142,Hope Gap,Roadside ï¿½,104732,30978,132,"['588o6JtSvQ0', 'oAP1fA-bp5k', 'om-uP0ns8_Y', 'w9Vm7cpQX80', 'i5hfswFZahY']",6.7
137,Saint Frances,Oscilloscï¿½,127275,14298,126,"['_21S3V-CMwY', 'KqKfxEGuxtE', 'kAqS00fD8KA', '5ZNB7AgXdqk', 'K_c-aPzF9Os']",7.1
104,Ordinary Love,Bleecker ï¿½,323688,23564,125,"['O9kH28_bcIM', 'P6ihjNXgMdk', 'P9F8xTrx6fw', 'ONxryH3RyII', '-JcJWp7z76M']",6.6
162,The Way I See it,Focus Feaï¿½,49030,25150,124,"['7L4ktHbelhc', 'WSy_I62mCOU', 'Ebv9_rNb5Ig', 'JfVOs4VSpmA', 'dGObwXnYqO8']",8.3
118,The Wolf of Snow Hollow,Orion Claï¿½,185026,91943,112,"['q03zOoH-hGo', 'H_FG6jzBHPo', 'oeJeF75MFck', 'uqtOPFFDpUg', 'wVuSftFxeCo']",6.2
143,Made in Italy,IFC Films,101339,33998,111,"['_E68yJohxTM', 'M2RqzDC6gF4', '3DMb5-eseWY', 'tJHcv0Pm0RU', 'Ir7RjOnuJMU']",5.9
132,Burden,101 Studios,139270,20160,109,"['gTDXiVbwqxw', '2J6Lq6JeeBQ', '6HDT6u2j2XM', 'kRZW6goMgHw', '74QNlPebMYY']",6.7
147,Tesla,IFC Films,93147,42165,108,"['ICXZJoekOzk', 'e4U-23TOKms', 'OqCD9wRdOUE', 'DUXSSLoiN6A', 'UQ7U_pft3Qw']",5
126,Shadow in the Cloud,Vertical ï¿½,156932,39117,107,"['d041Wa7LJfs', 'XjLnk8YriCQ', 'fhCfGAiMgC8', 'VQtDMNKGVv8', 'aL7QSPYdAJY']",4.9
83,Panga,FIP,582720,285689,102,"['QDP6tCC8zTo', '1cHICgJaUQc', 'gP6ViZix92U', 'Rzr8dUThQus', '_iLigqPWPS0']",6.8
57,The Wretched,IFC Midnight,1815440,65908,101,"['uxYMUQpS7iQ', 'vwFFhQhQC2M', '08I6e1eG08I', '-biXxlddp1Q', 'Of7bX-z4qaw']",5.8
82,Chhapaak,FIP,604334,316781,100,"['kXVf-KLyybk', '5SBs06G5uUI', 'KIgYOI1n0Mk', 'qo8LVOjK7-8', 'E_mEQQ2R104']",5.1
85,Followed,Global Viï¿½,538179,152825,100,"['VduFOTzm8DI', 'gu6yfylLQZI', 'PUODlFShiM8', 'tiBE56vQ0Fg', 'HkZYbOH0ujw']",5.1
212,Pahokee,Monument ï¿½,13250,4900,100,"['ESA7tORiYM0', 'KKu3ReBcqRI', 'v0J_SCszJ5A', '6n3WHBhxRRU', 'AF1lEtD322Q']",7.4
155,Summerland,IFC Films,58434,28881,99,"['vh6xso8QAys', '7p-jNw9jZvc', 'LknYw22SBR4', '00f80p8xdho', '3I8G3CyTV4s']",7
139,Archenemy,RLJ Enterï¿½,121642,53678,94,"['5uIUUKZsEUY', '7EO2IhDOSkE', 'fK_TDAeEpAc', '_PDuGp4IWn8', 'O3BfZ_hITsk']",5
110,"Mafia, Inc.",Films Sevï¿½,264552,264552,85,"['J--gKJVxWZI', 'FjXGLASbiHs', '4jPMA9DaXCA', 'tlmQ9xfKR5o', 'pmCUcpvcXiE']",6.9
92,CatVideoFest,Oscilloscï¿½,478775,217927,84,"['YF_XWzZ1dj0', 'eEgMlSoTQXo', 'bQ_vdcQE69I', 't1FzKPkTT-M', 'pQ6yP0gDz88']",4.2
198,Quarantine Cat Film Fest,Row Houseï¿½,20000,20000,84,"['dY1fDDv446M', 'jccqPLHCdQw', 'CSlbX7OYHR0', 'GEzcNArK2Ss', 'q8Q9AW3V76c']",6.9
75,Color Out of Space,RLJ Enterï¿½,765561,216162,81,"['RfYAXMwCpk0', 'uEX8vtCMqQE', 'Zfc8f7YOieI', 'qZFRxCYEXTw', '3QbtGgeggME']",6.2
124,A Call to Spy,IFC Films,159014,35098,79,"['3qpXI6n6Ea0', 'TbZgLKjrdnA', 'NFeuLyn4ra0', 'ZLuS6gactpI', 'HtkQHUiTT44']",6.6
145,The Silencing,Saban Films,100746,53205,79,"['xLXZl1JF85c', '9pDghajSwDM', 'Y-ufZuqTd5c', 'DmLWCmcUXkA', 'TDqutS7Uyos']",6.2
122,Extra Ordinary,Cranked Uï¿½,164346,82543,75,"['x1TvL5ZL6Sc', '8V1dEsZAQyg', 'a_1Tf3Rhf6E', '0D0akGcCu4c', '5bIFpSxVR_o']",6.5
154,My Brothers Crossing,Atlas Disï¿½,59390,19386,73,"['Xi6jDkG4ycA', '2fTFmwxFn1A', 'dJfCmcpzvCU', 'rkQqBIA2OY0', '8mkQRejVp64']",4.4
221,The Last Tree,ArtMattanï¿½,10128,2424,73,"['XTloTx1tpDk', 'ZL9angjbaGo', 'LLFSNWU8yx8', 'w9WhCnLKCO0', 'beToTslH17s']",6.5
178,After Parkland,Kino Lorber,30444,,71,"['yoCPjG02kUo', '4S-C4fsPBLY', 'ruSwCTKN0mE', 'V5-Bg7ZrGAg', 'GprKUZjLDBE']",5.8
89,The Forgotten Carols,Purdie Diï¿½,502252,104798,70,"['ihmzZCPDb28', 'Mg0KBf6G2qg', '_FmohtM-jOM', 'A4ii12M98zw', '4yE8l-qQIV0']",7.9
208,Zappa,Magnolia ï¿½,15502,2019,70,"['U4F0rT0F6OQ', 'D_zzBJUhMKI', 'HEcDMsI3DFI', 'wGhUpGu9auM', 'tbSpr_JaKD8']",7.6
103,Les misrables,Amazon Stï¿½,330181,24154,69,"['YFfdlLW9Rwg', 'isQGHwWyJ6k', 'IuEFm84s4oI', 'bWIYc2N6qHw', 'k1TyxWMcza8']",7.6
88,The Big Ugly,Vertical ï¿½,514107,152598,68,"['L5melrnkTfM', 'AYZdyNo1GWM', 'KaaRjC5jIU8', '-nsstHh2zSs', 'CHtNdIoT9WE']",5.2
125,The Dark and The Wicked,RLJ Enterï¿½,157252,60379,68,"['zM-jmNmX50Q', 'xK9UwE_mInY', 'EsrXtOIOuBo', 'Hk1mVaGq_t0', '14uVg6pdkc4']",6.1
148,First Lady,ArtAffects,89885,56692,68,"['rooY9hdyYIM', 'ItSdz1xzFsY', 'gCDAFSOmUxE', 'ybji16u608U', 'wePNJGL7nDU']",3.6
174,Embattled,IFC Films,32259,15141,68,"['rDfW0aY6EdU', 'zkHP4RXHzBg', '1KZNbKeT2hQ', 'Zb3ChzDyIsM', 'GHppYgeRQwM']",6.5
